S4_Temp,S1_Light,S2_Light,S3_Light,S1_Sound,S2_Sound,S3_Sound,S5_CO2_Slope,S6_PIR,S7_PIR
25.38,121,34,53,0.08,0.19,0.06,0.769230769,0,0
25.44,121,33,53,0.93,0.05,0.06,0.646153846,0,0
25.44,121,34,53,0.43,0.11,0.08,0.519230769,0,0
25.44,121,34,53,0.41,0.1,0.1,0.388461538,0,0
25.44,121,34,54,0.18,0.06,0.06,0.253846154,0,0
25.44,121,34,54,0.13,0.06,0.06,0.165384615,0,0
25.44,120,34,54,1.39,0.32,0.43,0.076923077,1,0
25.44,121,34,54,0.09,0.06,0.09,-0.011538462,0,0
25.5,122,35,56,0.09,0.05,0.06,-0.1,0,0
25.5,101,34,57,3.84,0.64,0.48,-0.188461538,1,1
25.44,122,35,57,2.2,0.31,0.33,-0.276923077,1,1
25.5,123,35,57,0.42,0.13,0.14,-0.365384615,1,0
25.5,123,35,57,0.21,0.15,0.07,-0.453846154,1,0
25.56,123,35,57,1.66,0.21,0.12,-0.542307692,1,0
25.56,123,35,58,0.57,0.17,0.21,-0.630769231,1,0
25.56,123,35,58,0.14,0.17,0.15,-0.719230769,1,0
25.56,122,35,58,0.24,0.05,0.1,-0.711538462,0,0
25.56,122,35,57,0.25,0.07,0.07,-0.653846154,1,0
25.56,123,35,58,0.23,0.07,0.08,-0.542307692,1,0
25.5,123,35,58,0.13,0.06,0.06,-0.373076923,0,0
25.5,123,35,58,0.13,0.04,0.06,-0.238461538,0,0
25.56,123,35,57,0.15,0.05,0.06,-0.092307692,0,0
25.56,123,35,58,0.11,0.05,0.06,0.061538462,0,0
25.56,123,35,58,1.31,0.12,0.08,0.319230769,0,0
25.5,124,35,59,0.11,0.12,0.06,0.334615385,0,0
25.5,123,35,58,1.57,0.08,0.07,0.388461538,1,0
25.5,123,35,59,0.21,0.19,0.17,0.480769231,1,0
25.56,123,35,58,0.44,0.13,0.17,0.607692308,1,0
25.56,123,35,58,0.46,0.14,0.16,0.719230769,1,0
25.56,123,35,58,0.98,0.25,0.19,0.769230769,1,0
25.56,123,35,58,0.15,0.13,0.23,0.807692308,0,0
25.56,123,35,58,0.08,0.08,0.07,0.788461538,0,0
25.56,123,35,58,0.09,0.05,0.07,0.853846154,1,0
25.56,123,35,58,0.37,0.16,0.18,0.903846154,0,0
25.69,122,35,59,0.08,0.06,0.06,0.892307692,0,0
25.63,122,35,58,0.93,0.05,0.06,0.915384615,0,0
25.63,123,35,57,0.07,0.24,0.06,0.923076923,0,0
25.56,123,35,58,0.07,0.05,0.05,0.961538462,0,0
25.56,123,35,58,0.08,0.05,0.05,1.026923077,0,0
25.56,123,35,57,0.08,0.05,0.06,1.115384615,0,0
25.56,123,35,57,1.27,0.06,0.11,1.176923077,0,0
25.63,123,35,59,0.08,0.26,0.21,1.215384615,0,0
25.63,123,36,59,0.1,0.08,0.09,1.234615385,0,0
25.63,123,35,59,0.46,0.16,0.21,1.234615385,1,0
25.63,123,35,59,0.42,0.19,0.16,1.215384615,0,0
25.63,124,35,60,0.17,0.05,0.06,1.173076923,0,0
25.63,124,36,61,1.44,0.12,0.15,1.2,0,0
25.63,124,36,61,0.76,0.27,0.24,1.2,1,0
25.63,124,36,61,0.16,0.06,0.05,1.269230769,0,0
25.56,124,36,60,0.09,0.05,0.06,1.219230769,0,0
25.69,123,35,59,0.28,0.05,0.07,1.15,0,0
25.63,123,35,59,0.07,0.07,0.05,1.065384615,0,0
25.63,124,36,60,0.28,0.12,0.11,1.019230769,1,0
25.63,123,35,60,0.24,0.11,0.14,0.965384615,0,0
25.69,123,35,60,0.93,0.14,0.12,0.946153846,1,0
25.69,123,35,60,0.1,0.09,0.1,0.953846154,0,0
25.63,123,35,59,0.68,0.12,0.11,0.842307692,0,0
25.63,123,35,60,0.94,0.12,0.13,0.946153846,0,0
25.56,123,35,59,0.12,0.05,0.06,0.976923077,0,0
25.63,123,35,59,0.29,0.08,0.1,0.934615385,0,0
25.69,124,36,61,0.83,0.05,0.06,0.869230769,0,0
25.69,124,36,62,1.1,0.1,0.09,0.738461538,1,0
25.63,124,36,61,0.83,0.1,0.11,0.688461538,0,0
25.69,123,36,60,0.48,0.15,0.18,0.719230769,1,0
25.69,123,35,60,0.65,0.08,0.11,0.830769231,0,0
25.63,123,35,60,0.4,0.06,0.08,0.926923077,0,0
25.63,124,36,60,0.49,0.06,0.07,0.957692308,0,0
25.69,124,35,60,0.13,0.1,0.09,0.969230769,0,0
25.75,124,36,60,0.35,0.05,0.05,0.915384615,0,0
25.75,124,36,63,0.17,0.1,0.14,0.846153846,0,0
25.75,124,37,64,1.85,0.19,0.15,0.857692308,0,0
25.69,124,37,65,0.28,0.08,0.08,0.903846154,1,0
25.75,123,37,64,0.36,0.09,0.09,0.984615385,1,0
25.75,123,31,61,0.48,0.31,0.53,1.1,1,1
25.75,124,29,62,0.51,0.55,0.17,1.103846154,1,1
25.69,150,187,63,0.46,0.46,0.21,1.088461538,1,1
25.75,153,216,63,0.76,0.74,0.15,1.003846154,1,1
25.75,155,234,63,1.77,1.08,0.2,0.896153846,1,1
25.75,156,239,64,0.8,0.29,0.1,0.719230769,0,1
25.81,157,241,67,0.73,0.24,0.1,0.623076923,0,1
